Algorithms, percent of models, TP, FN, TN, FP, Precision, Recall, F-Measure, Accuracy
J48 + Random Forest + Random Tree, 0.1, 0.9993176390310474, 6.82360968952576E-4, 0.8010101010101011, 0.198989898989899, 0.8339408768816234, 0.9993176390310474, 0.9091700062409789, 0.9492476409079317
J48 + Random Forest + Random Tree, 0.2, 0.9984646878198568, 0.0015353121801432957, 0.8202020202020202, 0.1797979797979798, 0.8474041614494262, 0.9984646878198568, 0.9167532480477066, 0.9534557510839071
J48 + Random Forest + Random Tree, 0.30000000000000004, 0.9973842829523485, 0.002615717047651541, 0.8508417508417508, 0.14915824915824916, 0.8699060479826483, 0.9973842829523485, 0.929293753123695, 0.960384255717079
J48 + Random Forest + Random Tree, 0.4, 0.9959911293074036, 0.004008870692596383, 0.8777777777777778, 0.12222222222222222, 0.8906986559809611, 0.9959911293074036, 0.9404068089630051, 0.9661438408569243
J48 + Random Forest + Random Tree, 0.5, 0.9944046400545888, 0.005595359945411122, 0.9012121212121212, 0.09878787878787879, 0.909633594188441, 0.9944046400545888, 0.9501320409882731, 0.9708747768426422
J48 + Random Forest + Random Tree, 0.6, 0.992550892755601, 0.007449107244398953, 0.9173400673400673, 0.08265993265993266, 0.9231221164202962, 0.992550892755601, 0.9565783684237052, 0.9735611663691235
J48 + Random Forest + Random Tree, 0.7, 0.9908368669883512, 0.009163133011648877, 0.9291486291486292, 0.07085137085137085, 0.9332653708253034, 0.9908368669883512, 0.9611898140589575, 0.9752614129048712
J48 + Random Forest + Random Tree, 0.7999999999999999, 0.9889542818150802, 0.011045718184919822, 0.9380050505050505, 0.06199494949494949, 0.9410105192068398, 0.9889542818150802, 0.9643868962893756, 0.9760902830910482
J48 + Random Forest + Random Tree, 0.8999999999999999, 0.9866939611054247, 0.01330603889457523, 0.9448933782267116, 0.05510662177328844, 0.9471044433273235, 0.9866939611054247, 0.966493955755753, 0.9761398736150075
J48 + Random Forest + Random Tree, 0.9999999999999999, 0.9763561924257932, 0.023643807574206754, 0.9504040404040404, 0.049595959595959596, 0.9516586036705268, 0.9763561924257932, 0.9638492117905754, 0.9698036215251211
J48 + Random Forest, 0.1, 0.9986352780620948, 0.001364721937905152, 0.695959595959596, 0.30404040404040406, 0.7666031474927916, 0.9986352780620948, 0.8673694570398842, 0.9222137209895435
J48 + Random Forest, 0.2, 0.9969293756397134, 0.0030706243602865915, 0.7570707070707071, 0.24292929292929294, 0.8040669480420121, 0.9969293756397134, 0.8901716788020634, 0.9363682733996429
J48 + Random Forest, 0.30000000000000004, 0.995678380529967, 0.004321619470032981, 0.7895622895622896, 0.21043771043771045, 0.825524498003443, 0.995678380529967, 0.9026527521434546, 0.9436368273399643
J48 + Random Forest, 0.4, 0.9947117024906176, 0.005288297509382463, 0.8148989898989899, 0.1851010101010101, 0.8431098358870798, 0.9947117024906176, 0.912657951524636, 0.9493114001530222
J48 + Random Forest, 0.5, 0.9929716820197885, 0.007028317980211532, 0.8408080808080808, 0.1591919191919192, 0.8618321920389603, 0.9929716820197885, 0.9227659843895949, 0.9545524100994645
J48 + Random Forest, 0.6, 0.9911293074036165, 0.008870692596383487, 0.8622895622895623, 0.1377104377104377, 0.8780070968386006, 0.9911293074036165, 0.9311450612272518, 0.9585989968545439
J48 + Random Forest, 0.7, 0.989472145050446, 0.010527854949554029, 0.8802308802308803, 0.11976911976911978, 0.8920260870491489, 0.989472145050446, 0.9382256658392183, 0.961890188363027
J48 + Random Forest, 0.7999999999999999, 0.9877175025588536, 0.012282497441146366, 0.8949494949494949, 0.10505050505050505, 0.9038675141301735, 0.9877175025588536, 0.9439340614606944, 0.9642948227492987
J48 + Random Forest, 0.8999999999999999, 0.9839266082868949, 0.016073391713105123, 0.90662177328844, 0.09337822671156004, 0.9133223729459137, 0.9839266082868949, 0.9473107573907195, 0.9644081725183485
J48 + Random Forest, 0.9999999999999999, 0.9778915046059365, 0.02210849539406346, 0.915959595959596, 0.08404040404040404, 0.9208608354677547, 0.9778915046059365, 0.9485196872945459, 0.9622545269064015
J48 + Random Tree, 0.1, 0.9986352780620948, 0.001364721937905152, 0.8232323232323232, 0.17676767676767677, 0.8496109984739002, 0.9986352780620948, 0.9181152170865187, 0.9543483805151747
J48 + Random Tree, 0.2, 0.9969293756397134, 0.0030706243602865915, 0.8580808080808081, 0.14191919191919192, 0.8753836146772417, 0.9969293756397134, 0.9322112755065417, 0.9618719714358582
J48 + Random Tree, 0.30000000000000004, 0.9955646537018082, 0.004435346298191744, 0.8946127946127946, 0.10538720538720539, 0.9042762819126274, 0.9955646537018082, 0.9477272402933511, 0.9700756609708407
J48 + Random Tree, 0.4, 0.994029341521665, 0.005970658478335039, 0.9184343434343434, 0.08156565656565656, 0.9241669432168234, 0.994029341521665, 0.9578259173274858, 0.9749426166794185
