Algorithm, Attacks in Train, Number of test, Type, Correct, Incorrect, Precision, Recall, F-Measure
Random Tree,50,990,Normal,0.9636363636363636,0.03636363636363636,1.0,0.9636363636363636,0.9814814814814815
Random Tree,50,2931,Attack,0.9645172296144661,0.03548277038553395,1.0,0.9645172296144661,0.9819381729767281
Random Tree,100,990,Normal,0.9929292929292929,0.007070707070707071,1.0,0.9929292929292929,0.9964521033958438
Random Tree,100,2931,Attack,0.9617877857386558,0.03821221426134425,1.0,0.9617877857386558,0.9805217391304348
Random Tree,150,990,Normal,0.9939393939393939,0.006060606060606061,1.0,0.9939393939393939,0.9969604863221885
Random Tree,150,2931,Attack,0.9716820197884681,0.0283179802115319,1.0,0.9716820197884681,0.9856376535732826
Random Tree,200,990,Normal,0.9929292929292929,0.007070707070707071,1.0,0.9929292929292929,0.9964521033958438
Random Tree,200,2931,Attack,0.9853292391675196,0.014670760832480383,1.0,0.9853292391675196,0.9926104141605084
Random Tree,250,990,Normal,0.9616161616161616,0.03838383838383838,1.0,0.9616161616161616,0.9804325437693101
Random Tree,250,2931,Attack,0.9914704878880928,0.008529512111907198,1.0,0.9914704878880928,0.995716977899606
Random Tree,300,990,Normal,0.9929292929292929,0.007070707070707071,1.0,0.9929292929292929,0.9964521033958438
Random Tree,300,2931,Attack,0.9890822244967588,0.010917775503241215,1.0,0.9890822244967588,0.9945111492281303
Random Tree,350,990,Normal,0.9727272727272728,0.02727272727272727,1.0,0.9727272727272728,0.9861751152073733
Random Tree,350,2931,Attack,0.9866939611054247,0.01330603889457523,1.0,0.9866939611054247,0.9933024214322513
Random Tree,400,990,Normal,0.9717171717171718,0.028282828282828285,1.0,0.9717171717171718,0.9856557377049181
Random Tree,400,2931,Attack,0.9918116683725691,0.008188331627430911,1.0,0.9918116683725691,0.9958890030832477
Random Tree,450,990,Normal,0.9818181818181818,0.01818181818181818,1.0,0.9818181818181818,0.9908256880733944
Random Tree,450,2931,Attack,0.9918116683725691,0.008188331627430911,1.0,0.9918116683725691,0.9958890030832477
Random Tree,500,990,Normal,0.9424242424242424,0.05757575757575758,1.0,0.9424242424242424,0.9703588143525741
Random Tree,500,2931,Attack,0.9918116683725691,0.008188331627430911,1.0,0.9918116683725691,0.9958890030832477
J48,50,990,Normal,0.9959595959595959,0.00404040404040404,1.0,0.9959595959595959,0.9979757085020243
J48,50,2931,Attack,0.9634936881610372,0.03650631183896281,1.0,0.9634936881610372,0.9814074717636837
J48,100,990,Normal,0.9868686868686869,0.013131313131313131,1.0,0.9868686868686869,0.9933909506863243
J48,100,2931,Attack,0.9785056294779939,0.021494370522006142,1.0,0.9785056294779939,0.9891360579410242
J48,150,990,Normal,0.9585858585858585,0.04141414141414142,1.0,0.9585858585858585,0.9788550799381124
J48,150,2931,Attack,0.9771409075400888,0.022859092459911294,1.0,0.9771409075400888,0.9884383088869716
J48,200,990,Normal,0.9464646464646465,0.05353535353535353,1.0,0.9464646464646465,0.9724961079398028
J48,200,2931,Attack,0.9689525759126578,0.031047424087342203,1.0,0.9689525759126578,0.9842315023392826
J48,250,990,Normal,0.8585858585858586,0.1414141414141414,1.0,0.8585858585858586,0.9239130434782609
J48,250,2931,Attack,0.9785056294779939,0.021494370522006142,1.0,0.9785056294779939,0.9891360579410242
J48,300,990,Normal,0.9252525252525252,0.07474747474747474,1.0,0.9252525252525252,0.9611752360965372
J48,300,2931,Attack,0.9829409757761856,0.017059024223814397,1.0,0.9829409757761856,0.991397109428768
J48,350,990,Normal,0.8707070707070707,0.1292929292929293,1.0,0.8707070707070707,0.9308855291576673
J48,350,2931,Attack,0.9901057659501876,0.00989423404981235,1.0,0.9901057659501876,0.9950282873307047
J48,400,990,Normal,0.8636363636363636,0.13636363636363635,1.0,0.8636363636363636,0.9268292682926829
J48,400,2931,Attack,0.9849880586830433,0.01501194131695667,1.0,0.9849880586830433,0.9924372636644895
J48,450,990,Normal,0.8828282828282829,0.11717171717171718,1.0,0.8828282828282829,0.9377682403433476
J48,450,2931,Attack,0.9839645172296144,0.016035482770385533,1.0,0.9839645172296144,0.9919174548581254
J48,500,990,Normal,0.8747474747474747,0.12525252525252525,1.0,0.8747474747474747,0.9331896551724137
J48,500,2931,Attack,0.9843056977140907,0.015694302285909244,1.0,0.9843056977140907,0.9920907840440165
SVM,50,990,Normal,0.7171717171717171,0.2828282828282828,1.0,0.7171717171717171,0.8352941176470587
SVM,50,2931,Attack,0.611395428181508,0.388604571818492,1.0,0.611395428181508,0.7588397205166209
SVM,100,990,Normal,0.5545454545454546,0.44545454545454544,1.0,0.5545454545454546,0.7134502923976608
SVM,100,2931,Attack,0.7011258955987717,0.29887410440122825,1.0,0.7011258955987717,0.8243080625752105
SVM,150,990,Normal,0.37575757575757573,0.6242424242424243,1.0,0.37575757575757573,0.5462555066079295
SVM,150,2931,Attack,0.9812350733538041,0.018764926646195838,1.0,0.9812350733538041,0.9905286722920612
SVM,200,990,Normal,0.3888888888888889,0.6111111111111112,1.0,0.3888888888888889,0.56
SVM,200,2931,Attack,0.9928352098259979,0.007164790174002047,1.0,0.9928352098259979,0.9964047252182846
SVM,250,990,Normal,0.3595959595959596,0.6404040404040404,1.0,0.3595959595959596,0.5289747399702822
SVM,250,2931,Attack,0.997611736608666,0.002388263391334016,1.0,0.997611736608666,0.9988044406490179
SVM,300,990,Normal,0.3575757575757576,0.6424242424242425,1.0,0.3575757575757576,0.5267857142857143
SVM,300,2931,Attack,0.9986352780620948,0.001364721937905152,1.0,0.9986352780620948,0.99931717309662
SVM,350,990,Normal,0.34444444444444444,0.6555555555555556,1.0,0.34444444444444444,0.512396694214876
