Algorithm, Attacks in Train, TP, FP, TN, FN, Precision, Recall, F-Measure, Accuracy
RandomTree,50,3821,0.9709500130855797,0.016727462607289193,0.9832725373927109,0.029049986914420307,0.9730882480725279,0.9709500130855797,0.9713509833110482,0.9771112752391451
RandomTree,100,3721,0.9742004837409298,0.011928181812824195,0.9880718181871757,0.025799516259070142,0.976183021255434,0.9742004837409298,0.97453817427911,0.9811361509640528
RandomTree,150,3621,0.9674123170394918,0.013522218793635339,0.9864777812063645,0.032587682960508145,0.9706952987685612,0.9674123170394918,0.9679385549785771,0.9769450491229283
RandomTree,200,3521,0.9872195399034365,0.010534076019236963,0.9894659239807632,0.012780460096563476,0.9874634216086212,0.9872195399034365,0.987271239753151,0.9883427319420999
RandomTree,250,3421,0.9821689564454837,0.02642143599208097,0.9735785640079192,0.017831043554516222,0.9821547194832846,0.9821689564454837,0.9821609253332555,0.9778737602267015
RandomTree,300,3321,0.9849442938873834,0.013948622891712323,0.9860513771082877,0.015055706112616682,0.9851672686157178,0.9849442938873834,0.9849954938547197,0.9854978354978355
RandomTree,350,3221,0.9832350201800683,0.021486200744113053,0.9785137992558869,0.016764979819931698,0.9832573103829993,0.9832350201800683,0.9832443990603872,0.9808744097179777
RandomTree,400,3121,0.9794937520025633,0.030619272813677708,0.9693807271863223,0.02050624799743672,0.9794604097716014,0.9794937520025633,0.9794543085415894,0.9744372395944428
RandomTree,450,3021,0.9788149619331348,0.03621316851893363,0.9637868314810665,0.021185038066865277,0.9789283433959381,0.9788149619331348,0.9787118570490991,0.9713008967071006
RandomTree,500,2921,0.9818555289284492,0.0211160784945399,0.97888392150546,0.01814447107155084,0.9818840887871503,0.9818555289284492,0.9818666201662215,0.9803697252169546
